Team,Tier,Seasons,Numeric Level,Highest Level,Total Seasons
AFC Bournemouth,I,5,1,1,90
AFC Bournemouth,II,5,2,1,90
AFC Bournemouth,III,69,3,1,90
AFC Bournemouth,IV,11,4,1,90
AFC Wimbledon,III,4,3,3,9
AFC Wimbledon,IV,5,4,3,9
Aberdare Athletic,III,6,3,3,6
Accrington,I,5,1,1,5
Accrington Stanley,III,34,3,3,47
Accrington Stanley,IV,13,4,3,47
Aldershot Town,III,24,3,3,57
Aldershot Town,IV,33,4,3,57
Arsenal,I,103,1,1,116
Arsenal,II,13,2,1,116
Ashington,III,8,3,3,8
Aston Villa,I,106,1,1,121
Aston Villa,II,13,2,1,121
Aston Villa,III,2,3,1,121
Barnet,III,1,3,3,21
Barnet,IV,20,4,3,21
Barnsley,I,1,1,1,111
Barnsley,II,76,2,1,111
Barnsley,III,24,3,1,111
Barnsley,IV,10,4,1,111
Barrow,III,33,3,3,44
Barrow,IV,11,4,3,44
Birmingham City,I,57,1,1,117
Birmingham City,II,56,2,1,117
Birmingham City,III,4,3,1,117
Blackburn Rovers,I,72,1,1,121
Blackburn Rovers,II,43,2,1,121
Blackburn Rovers,III,6,3,1,121
Blackpool,I,28,1,1,112
Blackpool,II,50,2,1,112
Blackpool,III,26,3,1,112
Blackpool,IV,8,4,1,112
Bolton Wanderers,I,73,1,1,121
Bolton Wanderers,II,34,2,1,121
Bolton Wanderers,III,13,3,1,121
Bolton Wanderers,IV,1,4,1,121
Bootle,II,1,2,2,1
Boston United,IV,5,4,4,5
Bradford,I,3,1,1,51
Bradford,II,22,2,1,51
Bradford,III,16,3,1,51
Bradford,IV,10,4,1,51
Bradford City,I,12,1,1,106
Bradford City,II,29,2,1,106
Bradford City,III,41,3,1,106
Bradford City,IV,24,4,1,106
Brentford,I,5,1,1,93
Brentford,II,16,2,1,93
Brentford,III,57,3,1,93
Brentford,IV,15,4,1,93
Brighton and Hove Albion,I,7,1,1,93
Brighton and Hove Albion,II,24,2,1,93
Brighton and Hove Albion,III,55,3,1,93
Brighton and Hove Albion,IV,7,4,1,93
Bristol City,I,9,1,1,108
Bristol City,II,52,2,1,108
Bristol City,III,45,3,1,108
Bristol City,IV,2,4,1,108
Bristol Rovers,II,19,2,2,92
Bristol Rovers,III,63,3,2,92
Bristol Rovers,IV,10,4,2,92
Burnley,I,57,1,1,121
Burnley,II,46,2,1,121
Burnley,III,11,3,1,121
Burnley,IV,7,4,1,121
Burton Albion,II,2,2,2,11
Burton Albion,III,3,3,2,11
Burton Albion,IV,6,4,2,11
Burton United,II,15,2,2,15
Burton Wanderers,II,3,2,2,3
Bury,I,22,1,1,115
Bury,II,39,2,1,115
Bury,III,30,3,1,115
Bury,IV,24,4,1,115
Cambridge United,II,8,2,2,41
Cambridge United,III,9,3,2,41
Cambridge United,IV,24,4,2,41
Cardiff City,I,17,1,1,93
Cardiff City,II,47,2,1,93
Cardiff City,III,19,3,1,93
Cardiff City,IV,10,4,1,93
Carlisle United,I,1,1,1,84
Carlisle United,II,15,2,1,84
Carlisle United,III,41,3,1,84
Carlisle United,IV,27,4,1,84
Charlton Athletic,I,26,1,1,92
Charlton Athletic,II,46,2,1,92
Charlton Athletic,III,20,3,1,92
Chelsea,I,85,1,1,104
Chelsea,II,19,2,1,104
Cheltenham Town,III,4,3,3,20
Cheltenham Town,IV,16,4,3,20
Chester City,III,35,3,3,67
Chester City,IV,32,4,3,67
Chesterfield,II,20,2,2,100
Chesterfield,III,61,3,2,100
Chesterfield,IV,19,4,2,100
Colchester United,II,2,2,2,68
Colchester United,III,38,3,2,68
Colchester United,IV,28,4,2,68
Coventry City,I,34,1,1,94
Coventry City,II,29,2,1,94
Coventry City,III,29,3,1,94
Coventry City,IV,2,4,1,94
Crawley Town,III,3,3,3,9
Crawley Town,IV,6,4,3,9
Crewe Alexandra,II,12,2,2,96
Crewe Alexandra,III,45,3,2,96
Crewe Alexandra,IV,39,4,2,96
Crystal Palace,I,20,1,1,93
Crystal Palace,II,37,2,1,93
Crystal Palace,III,33,3,1,93
Crystal Palace,IV,3,4,1,93
Dagenham and Redbridge,III,1,3,3,9
Dagenham and Redbridge,IV,8,4,3,9
Darlington,II,2,2,2,81
Darlington,III,32,3,2,81
Darlington,IV,47,4,2,81
Darwen,I,2,1,1,8
Darwen,II,6,2,1,8
Derby County,I,65,1,1,121
Derby County,II,52,2,1,121
Derby County,III,4,3,1,121
Doncaster Rovers,II,19,2,2,88
Doncaster Rovers,III,37,3,2,88
Doncaster Rovers,IV,32,4,2,88
Durham City,III,7,3,3,7
Everton,I,117,1,1,121
Everton,II,4,2,1,121
Exeter City,III,47,3,3,88
Exeter City,IV,41,4,3,88
Fleetwood Town,III,6,3,3,8
Fleetwood Town,IV,2,4,3,8
Forest Green Rovers,IV,3,4,4,3
Fulham,I,26,1,1,102
Fulham,II,55,2,1,102
Fulham,III,18,3,1,102
Fulham,IV,3,4,1,102
Gainsborough Trinity,II,16,2,2,16
Gateshead,II,9,2,2,34
Gateshead,III,23,3,2,34
Gateshead,IV,2,4,2,34
Gillingham,II,5,2,2,88
Gillingham,III,63,3,2,88
Gillingham,IV,20,4,2,88
Glossop,I,1,1,1,17
Glossop,II,16,2,1,17
Grimsby Town,I,12,1,1,110
Grimsby Town,II,52,2,1,110
Grimsby Town,III,28,3,1,110
Grimsby Town,IV,18,4,1,110
Halifax Town,III,42,3,3,69
Halifax Town,IV,27,4,3,69
Hartlepool United,III,43,3,3,89
Hartlepool United,IV,46,4,3,89
Hereford United,II,1,2,2,31
Hereford United,III,5,3,2,31
Hereford United,IV,25,4,2,31
Huddersfield Town,I,32,1,1,99
Huddersfield Town,II,39,2,1,99
Huddersfield Town,III,22,3,1,99
Huddersfield Town,IV,6,4,1,99
Hull City,I,5,1,1,104
Hull City,II,60,2,1,104
Hull City,III,29,3,1,104
Hull City,IV,10,4,1,104
Ipswich Town,I,36,1,1,75
Ipswich Town,II,27,2,1,75
Ipswich Town,III,12,3,1,75
Kidderminster Harriers,IV,5,4,4,5
Leeds City,II,10,2,2,10
Leeds United,I,50,1,1,93
Leeds United,II,40,2,1,93
Leeds United,III,3,3,1,93
Leicester City,I,52,1,1,115
Leicester City,II,62,2,1,115
Leicester City,III,1,3,1,115
Leyton Orient,I,1,1,1,102
Leyton Orient,II,41,2,1,102
Leyton Orient,III,42,3,1,102
Leyton Orient,IV,18,4,1,102
Lincoln City,II,34,2,2,107
Lincoln City,III,32,3,2,107
Lincoln City,IV,41,4,2,107
Liverpool,I,105,1,1,116
Liverpool,II,11,2,1,116
Loughborough,II,5,2,2,5
Luton Town,I,16,1,1,91
Luton Town,II,35,2,1,91
Luton Town,III,31,3,1,91
