Date,Headliner
31/05/2003,Iron Maiden
01/06/2003,Audioslave
05/06/2004,Linkin Park
06/06/2004,Metallica
10/06/2005,Feeder
11/06/2005,Black Sabbath
12/06/2005,System of a Down
09/06/2006,Tool
10/06/2006,Metallica
11/06/2006,Guns 'n' Roses
08/06/2007,My Chemical Romance
09/06/2007,Linkin Park
10/06/2007,Iron Maiden
13/06/2008,Kiss
14/06/2008,The Offspring
15/06/2008,Lostprophets
12/06/2009,Faith No More
13/06/2009,Slipknot
14/06/2009,Def Leppard
11/06/2010,AC/DC
12/06/2010,Rage Against The Machine
13/06/2010,Aerosmith
10/06/2011,Def Leppard
11/06/2011,System of a Down
12/06/2011,Linkin Park
08/06/2012,The Prodigy
09/06/2012,Metallica
10/06/2012,Black Sabbath
14/06/2013,Slipknot
15/06/2013,Iron Maiden
16/06/2013,Rammstein
13/06/2014,Avenged Sevenfold
14/06/2014,Linkin Park
15/06/2014,Aerosmith
12/06/2015,Slipknot
13/06/2015,Muse
14/06/2015,Kiss
10/06/2016,Rammstein
11/06/2016,Black Sabbath
12/06/2016,Iron Maiden
09/06/2017,System of a Down
10/06/2017,Biffy Clyro
11/06/2017,Aerosmith
08/06/2018,Avenged Sevenfold
09/06/2018,Guns 'n' Roses
10/06/2018,Ozzy Osbourne
14/06/2019,Def Leppard
15/06/2019,Slipknot
16/06/2019,Tool
04/06/2021,Kiss
05/06/2021,Biffy Clyro
06/06/2021,System of a Down
